timestamp_desired_position_mm;desired_position_mm;error_mm;position_mm;speed_rpm
1684225463371;20;0;0;15.727226975339708
1684225463377;20;0;0;15.727226975339708
1684225463383;20;0;0;15.727226975339708
1684225463389;20;0;0;15.727226975339708
1684225463395;20;0;0;15.727226975339708
1684225463400;20;0;0;15.727226975339708
1684225463406;20;0;0;15.727226975339708
1684225463412;20;0;0;15.727226975339708
1684225463417;20;0;0;15.727226975339708
1684225463422;20;0;0;15.727226975339708
1684225463427;20;0;0;15.727226975339708
1684225463432;20;0;0;15.727226975339708
1684225463437;20;0;0;15.727226975339708
1684225463441;20;0;0;15.727226975339708
1684225463447;20;0;0;15.727226975339708
1684225463451;20;0;0;15.727226975339708
1684225463456;20;0;0;15.727226975339708
1684225463461;20;0;0;15.727226975339708
1684225463465;20;0;0;15.727226975339708
1684225463469;20;0;0;15.727226975339708
1684225463473;20;0;0;15.727226975339708
1684225463477;20;0;0;15.727226975339708
1684225463481;20;0;0;15.727226975339708
1684225463485;20;0;0;15.727226975339708
1684225463490;20;0;0;15.727226975339708
1684225463495;20;0;0;15.727226975339708
1684225463500;20;0;0;15.727226975339708
1684225463505;20;0;0;15.727226975339708
1684225463509;20;0;0;15.727226975339708
1684225463513;20;0;0;15.727226975339708
1684225463518;20;0;0;15.727226975339708
1684225463522;20;0;0;15.727226975339708
1684225463526;20;0;0;15.727226975339708
1684225463537;20;0;0;15.727226975339708
1684225463552;20;0;0;15.727226975339708
1684225463556;20;0;0;15.727226975339708
1684225463563;20;0;0;15.727226975339708
1684225463567;20;0;0;15.727226975339708
1684225463572;20;0;0;15.727226975339708
1684225463582;20;0;0;15.727226975339708
1684225463590;20;0;0;15.727226975339708
1684225463596;20;0;0;15.727226975339708
1684225463601;20;0;0;15.727226975339708
1684225463606;20;0;0;15.727226975339708
1684225463612;20;0;0;15.727226975339708
1684225463617;20;0;0;15.727226975339708
1684225463621;20;0;0;15.727226975339708
1684225463625;20;0;0;15.727226975339708
1684225463631;20;0;0;15.727226975339708
1684225463636;20;0;0;15.727226975339708
1684225463640;20;0;0;15.727226975339708
1684225463646;20;0;0;15.727226975339708
1684225463651;20;0;0;15.727226975339708
1684225463655;20;0;0;15.727226975339708
1684225463661;20;0;0;15.727226975339708
1684225463666;20;0;0;15.727226975339708
1684225463670;20;0;0;15.727226975339708
1684225463676;20;0;0;15.727226975339708
1684225463681;20;0;0;15.727226975339708
1684225463685;20;0;0;15.727226975339708
1684225463690;20;0;0;15.727226975339708
1684225463695;20;0;0;15.727226975339708
1684225463699;20;0;0;15.727226975339708
1684225463703;20;0;0;15.727226975339708
1684225463707;20;0;0;15.727226975339708
1684225463712;20;0;0;15.727226975339708
1684225463717;20;0;0;15.727226975339708
1684225463723;20;0;0;15.727226975339708
1684225463728;20;0;0;15.727226975339708
1684225463732;20;0;0;15.727226975339708
1684225463736;20;0;0;15.727226975339708
1684225463740;20;0;0;15.727226975339708
1684225463744;20;0;0;15.727226975339708
1684225463749;20;0;0;15.727226975339708
1684225463753;20;0;0;15.727226975339708
1684225463758;20;0;0;15.727226975339708
1684225463765;20;0;0;15.727226975339708
1684225463770;20;0;0;15.727226975339708
1684225463775;20;0;0;15.727226975339708
1684225463781;20;0;0;15.727226975339708
1684225463785;20;0;0;15.727226975339708
1684225463791;20;0;0;15.727226975339708
1684225463796;20;0;0;15.727226975339708
1684225463802;20;0;0;15.727226975339708
1684225463809;20;0;0;15.727226975339708
1684225463816;20;-130.60483870967744;150.57071960297768;15.727226975339708
1684225463821;20;-130.60483870967744;150.57071960297768;15.727226975339708
1684225463826;20;-130.60483870967744;150.57071960297768;15.727226975339708
1684225463832;20;-130.60483870967744;150.57071960297768;15.727226975339708
1684225463837;20;-130.60483870967744;150.57071960297768;15.727226975339708
1684225463842;20;-130.60483870967744;150.57071960297768;15.727226975339708
1684225463848;20;-130.60483870967744;150.57071960297768;4.9603174603174605
1684225463855;20;-130.60483870967744;150.57071960297768;4.9603174603174605
1684225463863;20;-130.09615384615384;150.0620347394541;72.05995388162951
1684225463868;20;-130.09615384615384;150.0620347394541;87.12825278810409
1684225463873;20;-130.09615384615384;150.0620347394541;87.12825278810409
1684225463879;20;-130.09615384615384;150.0620347394541;96.15384615384616
1684225463885;20;-130.09615384615384;150.0620347394541;96.15384615384616
1684225463890;20;-130.09615384615384;150.0620347394541;96.45061728395062
1684225463896;20;-130.09615384615384;150.0620347394541;96.45061728395062
1684225463901;20;-130.09615384615384;150.0620347394541;99.62805526036132
1684225463908;20;-130.09615384615384;150.0620347394541;103.2488986784141
1684225463915;20;-128.69727047146404;148.66315136476427;106.5340909090909
1684225463921;20;-128.69727047146404;148.66315136476427;106.5340909090909
1684225463927;20;-128.69727047146404;148.66315136476427;103.2488986784141
1684225463932;20;-128.69727047146404;148.66315136476427;103.2488986784141
1684225463938;20;-128.69727047146404;148.66315136476427;99.2063492063492
1684225463944;20;-128.69727047146404;148.66315136476427;101.57096424702058
1684225463949;20;-128.69727047146404;148.66315136476427;101.57096424702058
1684225463954;20;-128.69727047146404;148.66315136476427;107.88262370540852
1684225463961;20;-128.69727047146404;148.66315136476427;108.13148788927336
1684225463968;20;-127.2983870967742;147.26426799007444;108.13148788927336
1684225463972;20;-127.2983870967742;147.26426799007444;99.41675503711559
1684225463977;20;-127.2983870967742;147.26426799007444;99.41675503711559
1684225463982;20;-127.2983870967742;147.26426799007444;104.63169642857143
1684225463986;20;-127.2983870967742;147.26426799007444;104.63169642857143
1684225463990;20;-127.2983870967742;147.26426799007444;106.89851767388825
1684225463995;20;-127.2983870967742;147.26426799007444;106.89851767388825
